title,name,hindex,ranking,year,id,link,deadline,abstract_deadline,timezone,start,end,date,place,sub,note
EACL,European Chapter of the Association for Computational Linguistics,36,,2021,eacl21,https://2021.eacl.org/,10/7/2020 23:59,,UTC-12,4/21/2021,4/23/2021,"April 21-23, 2021","Online (Kyiv, Ukraine)",NLP,
AAMAS,Autonomous Agents and Multiagent Systems,25,,2021,aamas21,https://aamas2021.soton.ac.uk/,10/9/2020 23:59,10/2/2020 23:59,UTC-12,5/3/2021,5/7/2021,"May 3-7, 2021","London, UK",ML,"Mandatory abstract deadline on Oct 02, 2020. More info <a href='https://aamas2021.soton.ac.uk/calls/papers/'>here</a>."
SDM,Society for Industrial and Applied Mathematics,33,,2021,sdm21,https://www.siam.org/conferences/cm/conference/sdm21,10/12/2020 23:59,,UTC-5,4/29/2021,5/1/2021,"April 29 - May 1, 2021",Online,DM,
AISTATS,Society for Artificial Intelligence and Statistics,52,,2021,aistats21,https://www.aistats.org/aistats2021/,10/15/2020 8:00,,America/Los_Angeles,4/13/2021,4/15/2021,"April 13-15, 2021","San Diego, California, USA",ML,"Mandatory abstract deadline on Oct 8, 2020. More info <a href='http://www.aistats.org/aistats2021/cfp.html'>here</a>."
ICME,IEEE International Conference on Multimedia and Expo,30,,2021,icme21,https://2021.ieeeicme.org/,11/29/2020 23:59,,America/Los_Angeles,7/5/2021,7/9/2021,"July 5-9, 2021","Shenzhen, China",CV,
ICAPS,International Conference on Automated Planning and Scheduling,28,,2021,icaps21,https://icaps21.icaps-conference.org/,12/18/2020 23:59,12/11/2020 23:59,UTC-12,6/7/2021,6/12/2021,"June 7-12, 2021","Guangzhou, China",ML,"Mandatory abstract deadline on Dec 11, 2020. More info <a href='https://icaps21.icaps-conference.org/'>here</a>."
ICIP,IEEE International Conference in Image Processing,52,,2021,icip21,https://2021.ieeeicip.org,1/13/2021 23:59,,America/Los_Angeles,9/19/2021,9/22/2021,"September, 19-22, 2021","Anchorage, Alaska, USA",CV,
CHIL,"Conference on Health, Inference, and Learning",-1,,2021,chil21,https://www.chilconference.org/,1/14/2021 23:59,1/10/2021 23:59,UTC-12,4/8/2021,4/10/2021,"April 8-10, 2021",Online,ML,"Recommended abstract deadline on Jan 10, 2021. More info <a href='https://www.chilconference.org'>here</a>."
SIGGRAPH,Special Interest Group on Computer Graphics and Interactive Techniques,19,,2021,siggraph21,https://s2021.siggraph.org/,1/28/2021 22:00,1/27/2021 22:00,UTC,8/1/2021,8/5/2021,"August 1-5, 2021",Online,CV,"Mandatory abstract deadline on Jan 27, 2021. More info <a href='https://s2021.siggraph.org/program/technical-papers/'>here</a>."
ICML,International Conference on Machine Learning,135,,2021,icml21,https://icml.cc/Conferences/2021,2/4/2021 23:59,1/28/2021 23:59,UTC-12,7/18/2021,7/24/2021,"July 18-24, 2021","Vienna, Austria",ML,"Mandatory abstract deadline on Jan 28, 2021. More info <a href='https://icml.cc/Conferences/2021/'>here</a>."
